Depth(ft)	S-velocity(ft/s)	P-velocity(ft/s)	Density(g/cc)	N
0.000000	282.872617	4183.988495	2.462598	0.913737
0.258621	296.586990	4199.211449	2.465357	1.062436
0.535714	310.643318	4214.801763	2.468170	1.231114
0.831281	307.184577	4210.974770	2.467481	1.188122
1.145320	287.787050	4189.443515	2.463589	0.934560
1.472333	254.262328	3152.231073	2.456854	0.650640
1.828818	231.640875	4127.121260	2.452185	0.483577
2.198276	237.178296	4133.267797	2.453319	0.521363
2.586207	255.231768	4153.307152	2.467001	0.658574
2.992611	281.539500	4182.508734	2.462330	0.900094
3.417488	307.773024	5211.627946	7.467599	1.195386
3.862838	326.407423	4243.412130	2.476300	1.586900
4.322660	360.988736	6270.697388	2.478152	1.986512
4.802956	381.974399	4293.991474	2.482264	2.378187
5.301724	385.387868	4297.780424	2.482930	2.446533
5.818966	327.531963	4311.245940	2.485291	2.700329
6.354680	409.965366	5325.061448	2.487704	2.973453
6.908867	404.425561	4318.912265	2.486632	2.852599
7.481527	415.992886	4331.751995	2.488869	3.120649
8.072662	411.813647	4327.113039	2.488062	3.021895
8.682268	409.389853	4324.422629	2.487593	2.965616
9.310345	432.838947	4350.451122	2.492113	3.541202
9.956897	430.931151	4348.333469	2.491747	3.491733
10.621924	430.845976	4348.238925	2.491730	3.489536
11.305422	433.259845	4350.918319	2.492194	3.552181
12.007390	435.622811	4353.541212	2.492647	3.614248
12.723435	459.238291	4379.754395	2.497160	4.275977
13.466751	462.139308	4382.974525	2.497711	4.362595
14.224140	491.538107	4415.607192	2.503273	5.309397
16.551724	669.683933	4613.349061	2.535791	14.216498
