Depth(m)	S-velocity(m/s)	P-velocity(m/s)	Density(g/cc)	N
0.000000	426.292837	1763.185017	1.870534	111.575222
0.258621	212.922782	1526.344253	1.796244	12.229864
0.535714	130.017757	1434.319674	1.766591	2.542108
0.831281	150.866672	1457.461970	1.774090	4.082223
1.145320	186.813191	1497.362606	1.786953	8.062755
1.477833	215.958998	1529.714452	1.797321	12.793960
1.828818	229.123056	1544.326557	1.801987	15.446998
2.198276	239.155188	1555.462224	1.805534	17.705771
2.586207	243.499473	1560.284380	1.807069	18.750533
2.992611	270.557284	1590.318551	1.816598	26.227081
3.417488	319.561899	1644.713674	1.833738	44.564724
3.860838	398.612142	1732.459445	1.861061	90.096819
4.322660	467.507422	1808.933207	1.884548	149.696827
4.802956	548.861027	1899.235709	1.911890	249.519181
5.301724	603.180766	1959.530621	1.929911	336.999846
5.818966	645.218611	2006.192629	1.943727	417.650032
6.354680	671.499670	2035.364605	1.952307	474.276924
6.908867	723.831654	2093.453108	1.969260	602.320194
7.481527	733.540177	2104.229569	1.972386	628.427553
8.072662	731.118679	2101.541706	1.971607	621.844625
8.682268	718.239546	2087.245868	1.967457	587.625313
9.310345	702.672422	2069.966360	1.962427	548.016262
9.956897	685.080707	2050.439557	1.956724	505.505657
10.621924	662.803233	2025.711560	1.949473	454.990911
11.305422	640.651524	2001.123163	1.942232	408.307695
12.007390	621.329069	1979.675237	1.935889	370.365310
12.727835	598.206520	1954.009208	1.928269	328.228569
13.466751	579.606652	1933.363354	1.922113	296.817279
14.224140	623.523593	1982.111159	1.936611	374.547386
16.551724	733.540177	2104.229569	1.972386	628.427553
